time,id,PM1,PM25,PM10,CO2,temp1,temp2,temp3,press1,press2,press3,hum1,hum2,hum3
2024-04-19 13:00:00+00:00,CNRS_1,0.92,0.99,1.35,849.33,23.36,24.38,23.36,1015.0,1013.78,1015.0,22.21,21.67,22.22
2024-04-22 08:00:00+00:00,CNRS_1,1.25,1.03,1.4,580.0,26.38,26.99,26.38,1009.82,1008.49,1009.8,18.64,18.26,18.64
2024-04-22 09:00:00+00:00,CNRS_1,0.63,0.64,0.73,668.0,24.21,25.77,24.21,1009.58,1008.33,1009.59,20.36,19.06,20.37
2024-05-16 15:00:00+00:00,CNRS_1,1.44,2.02,4.86,475.8,40.12,40.88,40.11,1004.0,1003.17,1004.0,26.17,25.94,26.18
2024-05-16 16:00:00+00:00,CNRS_1,1.62,2.72,6.93,542.48,38.57,39.34,38.57,1004.58,1003.78,1004.58,27.08,26.82,27.08
2024-05-16 17:00:00+00:00,CNRS_1,0.97,1.25,2.16,579.87,38.42,39.29,38.41,1004.71,1003.94,1004.7,27.6,27.3,27.6
2024-05-16 18:00:00+00:00,CNRS_1,0.43,0.59,1.02,528.73,38.3,38.96,38.3,1004.77,1003.98,1004.77,27.12,26.92,27.13
2024-05-16 19:00:00+00:00,CNRS_1,0.47,0.69,0.79,510.9,38.99,39.68,38.98,1005.41,1004.62,1005.41,26.42,26.18,26.43
2024-05-16 20:00:00+00:00,CNRS_1,0.44,0.57,0.72,477.27,38.58,39.23,38.58,1005.85,1005.04,1005.84,26.2,25.97,26.21
2024-05-16 21:00:00+00:00,CNRS_1,0.45,0.62,0.73,459.97,37.72,38.45,37.72,1006.5,1005.66,1006.49,26.26,25.99,26.26
2024-05-16 22:00:00+00:00,CNRS_1,0.5,0.72,1.09,447.9,38.02,38.75,38.02,1006.97,1006.14,1006.97,26.04,25.78,26.05
2024-05-16 23:00:00+00:00,CNRS_1,0.43,0.53,0.69,438.23,38.47,39.2,38.46,1007.39,1006.6,1007.38,25.96,25.7,25.97
2024-05-17 00:00:00+00:00,CNRS_1,0.62,0.8,1.23,435.7,38.68,39.42,38.68,1007.4,1006.61,1007.4,25.87,25.6,25.87
2024-05-17 01:00:00+00:00,CNRS_1,0.74,0.84,0.98,439.43,38.52,39.27,38.52,1007.22,1006.42,1007.21,25.8,25.53,25.8
2024-05-17 02:00:00+00:00,CNRS_1,0.89,0.91,1.11,437.1,38.34,39.08,38.34,1007.04,1006.25,1007.03,25.71,25.43,25.72
2024-05-17 03:00:00+00:00,CNRS_1,0.89,0.79,1.11,440.67,38.17,38.9,38.17,1007.0,1006.23,1007.0,25.64,25.36,25.65
2024-05-17 04:00:00+00:00,CNRS_1,0.82,0.93,1.37,439.17,38.14,38.85,38.13,1007.06,1006.28,1007.05,25.53,25.25,25.54
2024-05-17 05:00:00+00:00,CNRS_1,0.62,0.86,1.27,439.7,38.18,38.92,38.18,1007.03,1006.25,1007.02,25.41,25.12,25.41
2024-05-17 06:00:00+00:00,CNRS_1,0.52,0.63,0.71,441.1,38.13,38.95,38.12,1006.94,1006.17,1006.94,25.33,25.01,25.33
2024-05-17 07:00:00+00:00,CNRS_1,0.8,1.34,3.37,442.8,38.4,39.14,38.4,1007.1,1006.35,1007.08,25.17,24.9,25.18
2024-05-17 08:00:00+00:00,CNRS_1,1.43,2.56,7.0,646.3,38.54,39.25,38.54,1007.2,1006.44,1007.2,25.58,25.32,25.59
